match_id,tournament,year,draw,round,player1,player2,result,match_played,result_source,public_video_count,verified_official_full_video_count,candidate_full_video_count,coverage_status
australian-open-2001-women-qf-anna-kournikova-lindsay-davenport,Australian Open,2001,women,QF,Anna Kournikova,Lindsay Davenport,6-4 6-2,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),3,0,0,candidate_only
australian-open-2001-women-qf-jennifer-capriati-monica-seles,Australian Open,2001,women,QF,Jennifer Capriati,Monica Seles,5-7 6-4 6-3,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,1,0,verified_official_full_match
australian-open-2001-women-qf-martina-hingis-serena-williams,Australian Open,2001,women,QF,Martina Hingis,Serena Williams,6-2 3-6 8-6,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,1,0,verified_official_full_match
australian-open-2001-women-sf-jennifer-capriati-lindsay-davenport,Australian Open,2001,women,SF,Jennifer Capriati,Lindsay Davenport,6-3 6-4,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),3,0,0,candidate_only
australian-open-2001-women-sf-martina-hingis-venus-williams,Australian Open,2001,women,SF,Martina Hingis,Venus Williams,6-1 6-1,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),2,0,1,public_full_match_candidate
australian-open-2001-women-f-jennifer-capriati-martina-hingis,Australian Open,2001,women,F,Jennifer Capriati,Martina Hingis,6-4 6-3,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,1,0,verified_official_full_match
australian-open-2002-men-qf-jiri-novak-stefan-koubek,Australian Open,2002,men,QF,Jiri Novak,Stefan Koubek,6-2 6-3 6-2,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),0,0,0,not_found
australian-open-2002-men-qf-jonas-bjorkman-thomas-johansson,Australian Open,2002,men,QF,Jonas Bjorkman,Thomas Johansson,6-0 2-6 6-3 6-4,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,0,1,public_full_match_candidate
australian-open-2002-men-qf-marat-safin-wayne-ferreira,Australian Open,2002,men,QF,Marat Safin,Wayne Ferreira,5-2 RET,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),0,0,0,not_found
australian-open-2002-men-qf-marcelo-rios-tommy-haas,Australian Open,2002,men,QF,Marcelo Rios,Tommy Haas,7-6(2) 6-4 6-7(2) 7-6(5),True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,0,0,candidate_only
australian-open-2002-men-sf-jiri-novak-thomas-johansson,Australian Open,2002,men,SF,Jiri Novak,Thomas Johansson,7-6(5) 0-6 4-6 6-3 6-4,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,0,1,public_full_match_candidate
australian-open-2002-men-sf-marat-safin-tommy-haas,Australian Open,2002,men,SF,Marat Safin,Tommy Haas,6-7(5) 7-6(4) 3-6 6-0 6-2,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),2,0,1,public_full_match_candidate
australian-open-2002-men-f-marat-safin-thomas-johansson,Australian Open,2002,men,F,Marat Safin,Thomas Johansson,3-6 6-4 6-4 7-6(4),True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,1,0,verified_official_full_match
australian-open-2002-women-qf-adriana-serra-zanetti-martina-hingis,Australian Open,2002,women,QF,Adriana Serra Zanetti,Martina Hingis,6-2 6-3,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,0,0,candidate_only
australian-open-2002-women-qf-amelie-mauresmo-jennifer-capriati,Australian Open,2002,women,QF,Amelie Mauresmo,Jennifer Capriati,6-2 6-2,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),2,0,1,public_full_match_candidate
australian-open-2002-women-qf-justine-henin-kim-clijsters,Australian Open,2002,women,QF,Justine Henin,Kim Clijsters,6-2 6-3,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,0,0,candidate_only
australian-open-2002-women-qf-monica-seles-venus-williams,Australian Open,2002,women,QF,Monica Seles,Venus Williams,6-7(4) 6-2 6-3,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,1,0,verified_official_full_match
australian-open-2002-women-sf-jennifer-capriati-kim-clijsters,Australian Open,2002,women,SF,Jennifer Capriati,Kim Clijsters,7-5 3-6 6-1,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),2,0,0,candidate_only
australian-open-2002-women-sf-martina-hingis-monica-seles,Australian Open,2002,women,SF,Martina Hingis,Monica Seles,4-6 6-1 6-4,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,1,0,verified_official_full_match
australian-open-2002-women-f-jennifer-capriati-martina-hingis,Australian Open,2002,women,F,Jennifer Capriati,Martina Hingis,4-6 7-6(7) 6-2,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,1,0,verified_official_full_match
australian-open-2003-men-qf-andre-agassi-sebastien-grosjean,Australian Open,2003,men,QF,Andre Agassi,Sebastien Grosjean,6-3 6-2 6-2,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,0,1,public_full_match_candidate
australian-open-2003-men-qf-andy-roddick-younes-el-aynaoui,Australian Open,2003,men,QF,Andy Roddick,Younes El Aynaoui,4-6 7-6(5) 4-6 6-4 21-19,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),4,0,1,public_full_match_candidate
australian-open-2003-men-qf-david-nalbandian-rainer-schuettler,Australian Open,2003,men,QF,David Nalbandian,Rainer Schuettler,6-3 5-7 6-1 6-0,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),2,0,2,public_full_match_candidate
australian-open-2003-men-qf-juan-carlos-ferrero-wayne-ferreira,Australian Open,2003,men,QF,Juan Carlos Ferrero,Wayne Ferreira,7-6(4) 7-6(5) 6-1,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),0,0,0,not_found
australian-open-2003-men-sf-andre-agassi-wayne-ferreira,Australian Open,2003,men,SF,Andre Agassi,Wayne Ferreira,6-2 6-2 6-3,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,0,1,public_full_match_candidate
australian-open-2003-men-sf-andy-roddick-rainer-schuettler,Australian Open,2003,men,SF,Andy Roddick,Rainer Schuettler,7-5 2-6 6-3 6-3,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),0,0,0,not_found
australian-open-2003-men-f-andre-agassi-rainer-schuettler,Australian Open,2003,men,F,Andre Agassi,Rainer Schuettler,6-2 6-2 6-1,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),3,0,1,public_full_match_candidate
australian-open-2003-women-qf-anastasia-myskina-kim-clijsters,Australian Open,2003,women,QF,Anastasia Myskina,Kim Clijsters,6-2 6-4,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,0,1,public_full_match_candidate
australian-open-2003-women-qf-daniela-hantuchova-venus-williams,Australian Open,2003,women,QF,Daniela Hantuchova,Venus Williams,6-4 6-3,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),2,0,0,candidate_only
australian-open-2003-women-qf-justine-henin-virginia-ruano-pascual,Australian Open,2003,women,QF,Justine Henin,Virginia Ruano Pascual,6-2 6-2,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),0,0,0,not_found
australian-open-2003-women-qf-meghann-shaughnessy-serena-williams,Australian Open,2003,women,QF,Meghann Shaughnessy,Serena Williams,6-2 6-2,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,0,1,public_full_match_candidate
australian-open-2003-women-sf-justine-henin-venus-williams,Australian Open,2003,women,SF,Justine Henin,Venus Williams,6-3 6-3,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),3,0,1,public_full_match_candidate
australian-open-2003-women-sf-kim-clijsters-serena-williams,Australian Open,2003,women,SF,Kim Clijsters,Serena Williams,4-6 6-3 7-5,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,1,0,verified_official_full_match
australian-open-2003-women-f-serena-williams-venus-williams,Australian Open,2003,women,F,Serena Williams,Venus Williams,7-6(4) 3-6 6-4,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,1,0,verified_official_full_match
australian-open-2004-men-qf-andre-agassi-sebastien-grosjean,Australian Open,2004,men,QF,Andre Agassi,Sebastien Grosjean,6-2 2-0 RET,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,0,0,candidate_only
australian-open-2004-men-qf-andy-roddick-marat-safin,Australian Open,2004,men,QF,Andy Roddick,Marat Safin,2-6 6-3 7-5 6-7(0) 6-4,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),2,0,1,public_full_match_candidate
australian-open-2004-men-qf-david-nalbandian-roger-federer,Australian Open,2004,men,QF,David Nalbandian,Roger Federer,7-5 6-4 5-7 6-3,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),4,0,2,public_full_match_candidate
australian-open-2004-men-qf-hicham-arazi-juan-carlos-ferrero,Australian Open,2004,men,QF,Hicham Arazi,Juan Carlos Ferrero,6-1 7-6(6) 7-6(5),True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,0,1,public_full_match_candidate
australian-open-2004-men-sf-andre-agassi-marat-safin,Australian Open,2004,men,SF,Andre Agassi,Marat Safin,7-6(6) 7-6(6) 5-7 1-6 6-3,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,1,0,verified_official_full_match
australian-open-2004-men-sf-juan-carlos-ferrero-roger-federer,Australian Open,2004,men,SF,Juan Carlos Ferrero,Roger Federer,6-4 6-1 6-4,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,1,0,verified_official_full_match
australian-open-2004-men-f-marat-safin-roger-federer,Australian Open,2004,men,F,Marat Safin,Roger Federer,7-6(3) 6-4 6-2,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,1,0,verified_official_full_match
australian-open-2004-women-qf-amelie-mauresmo-fabiola-zuluaga,Australian Open,2004,women,QF,Amelie Mauresmo,Fabiola Zuluaga,W/O,False,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),0,0,0,not_played_walkover
australian-open-2004-women-qf-anastasia-myskina-kim-clijsters,Australian Open,2004,women,QF,Anastasia Myskina,Kim Clijsters,6-2 7-6(9),True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),0,0,0,not_found
australian-open-2004-women-qf-justine-henin-lindsay-davenport,Australian Open,2004,women,QF,Justine Henin,Lindsay Davenport,7-5 6-3,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),0,0,0,not_found
australian-open-2004-women-qf-lisa-raymond-patty-schnyder,Australian Open,2004,women,QF,Lisa Raymond,Patty Schnyder,7-6(2) 6-3,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),0,0,0,not_found
australian-open-2004-women-sf-fabiola-zuluaga-justine-henin,Australian Open,2004,women,SF,Fabiola Zuluaga,Justine Henin,6-2 6-2,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),2,0,0,candidate_only
australian-open-2004-women-sf-kim-clijsters-patty-schnyder,Australian Open,2004,women,SF,Kim Clijsters,Patty Schnyder,6-2 7-6(2),True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,0,0,candidate_only
australian-open-2004-women-f-justine-henin-kim-clijsters,Australian Open,2004,women,F,Justine Henin,Kim Clijsters,6-3 4-6 6-3,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),2,1,0,verified_official_full_match
